# YTID,start_seconds,end_seconds,positive_labels
h3DVqb55DRQ,20.0,30.0,"""/m/025rv6n,/m/05_wcq,/m/07st89h,/m/09b5t"""
UFAGCTDB7EY,30.0,40.0,"""/m/032s66,/m/0_1c"""
H0Zaevi3IUw,100.0,110.0,"""/m/015lz1,/m/04rlf,/t/dd00003,/t/dd00126"""
LefXwJz6HCA,60.0,70.0,"""/m/02z32qm,/m/09x0r"""
US0al0-ySG4,30.0,40.0,"""/m/07qlwh6"""
Pg4Z207T-Pc,40.0,50.0,"""/m/018j2"""
vHGamawvufY,30.0,40.0,"""/m/07qwdck"""
UNYiAUNKBJM,30.0,40.0,"""/m/07p6mqd,/m/09x0r"""
-yfGwGBVnlA,30.0,40.0,"""/m/02sgy,/m/0342h,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y"""
MXffROjfCTs,320.0,330.0,"""/m/06_y0by,/m/09x0r"""
Wm3amD2hLqI,50.0,60.0,"""/m/03lty,/m/04rlf,/m/07pt_g0"""
_XusTa2prSw,30.0,40.0,"""/m/039jq"""
N-26aD8z19c,170.0,180.0,"""/m/07rrh0c,/m/09x0r"""
_1VZUONWYm4,0.0,10.0,"""/m/01h8n0,/m/09x0r"""
6KXd7l5pThg,30.0,40.0,"""/m/02bxd,/m/04rlf"""
v2NUhsYMq5o,130.0,140.0,"""/m/02g901,/m/09x0r"""
f0-p4aQwUWY,170.0,180.0,"""/m/07qn4z3"""
sL01xTmV_Fc,30.0,40.0,"""/m/04rlf,/m/07kc_"""
l5sbP_vmgl8,240.0,250.0,"""/m/0l15bq"""
4ldia364J8I,240.0,250.0,"""/m/04rlf,/t/dd00033"""
DueNcVFHI0k,20.0,30.0,"""/m/011k_j,/m/0l14md"""
xn4yais2W6w,30.0,40.0,"""/m/04rlf,/m/06bxc"""
58h2NdNd4KM,30.0,40.0,"""/t/dd00005"""
hGmzPoruBwU,30.0,40.0,"""/m/01m4t"""
k3ep6MFhINI,30.0,40.0,"""/m/01w250"""
1qBjFpRa0LA,40.0,50.0,"""/m/05rj2,/m/09x0r"""
QSFVqtx-Co8,7.0,17.0,"""/m/01hnzm"""
u3yOMK8SuRI,0.0,10.0,"""/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07xzm,/m/0fx80y,/m/0l14_3"""
IEJmx9YngBI,310.0,320.0,"""/m/07qc9xj,/m/09x0r"""
-6fxJZ7CW00,30.0,40.0,"""/m/07pjjrj"""
-reNxUHvEl0,7.0,17.0,"""/m/07r67yg"""
PkMRV3AsBYs,30.0,40.0,"""/m/04rlf,/m/09x0r,/t/dd00018"""
Pdd2UAQu28g,460.0,470.0,"""/m/07s0dtb"""
cyQm5BHtN0Y,0.0,4.0,"""/m/0c1dj,/m/0gy1t2s"""
JoFvd6SVJSM,30.0,40.0,"""/m/078jl,/m/07rjwbb"""
rNaVVn0PzeQ,340.0,350.0,"""/m/04rlf,/m/0cj0r"""
712QrVEkaAo,30.0,40.0,"""/m/01c194"""
L3d4ajg0bhk,30.0,40.0,"""/m/085jw,/m/0l14l2"""
fLrWoS0JXGs,30.0,40.0,"""/m/01v1d8,/m/04rlf,/m/09x0r"""
sQVqtm6RKQ0,30.0,40.0,"""/m/01z47d,/m/07cx4,/m/09x0r"""
lMBDn8ExqCI,14.0,24.0,"""/m/01w250"""
SbmANykduh4,30.0,40.0,"""/m/04rlf,/m/07pws3f"""
crtrt0HbAtg,30.0,40.0,"""/m/03vt0,/m/09f96,/m/0h2mp"""
QrvCNyQn3HU,20.0,30.0,"""/m/032s66,/m/04zjc"""
ILCjO1sCcyM,570.0,580.0,"""/m/07qwyj0"""
wFQVeROWsWo,90.0,100.0,"""/m/02bm9n,/m/05zc1,/m/0l7xg,/t/dd00077"""
a2bqZ6PVWM0,430.0,440.0,"""/m/07s04w4,/m/09x0r"""
jttmgqitjMM,160.0,170.0,"""/m/02cz_7"""
nJ5VaxlKdQE,50.0,60.0,"""/m/01d3sd"""
yoK4rannXCw,70.0,80.0,"""/m/01jg02,/m/07p_0gm"""
Avs_-f9_n8A,30.0,40.0,"""/m/025_jnm,/m/09x0r"""
eZvYi9PsAm8,0.0,10.0,"""/m/046dlr"""
2_HZ_m5pBjI,210.0,220.0,"""/m/01m2v,/m/0316dw,/m/09x0r"""
vDLapSS4HRk,30.0,40.0,"""/m/04s8yn,/m/07r5c2p,/m/09x0r,/m/0jbk"""
z2lCEbwNFf8,0.0,10.0,"""/m/07plct2"""
87IhSY4r2DY,0.0,10.0,"""/m/07s12q4,/m/0c1dj"""
T7khbuOBHbo,230.0,240.0,"""/m/01kcd,/m/07c6l,/m/07gql"""
K8-XdUaVPis,50.0,60.0,"""/m/04rlf,/m/07p78v5,/m/0z9c"""
vTXb8P7sAFY,50.0,60.0,"""/m/04rlf,/t/dd00037"""
Iz2DIRooIqo,21.0,31.0,"""/m/07st88b,/m/09ld4"""
4dcyo3VOmlA,20.0,30.0,"""/m/07rjzl8,/m/09x0r,/t/dd00126"""
5oIP4I0Wkas,30.0,40.0,"""/m/07pdhp0"""
8mNRc0NGZzc,160.0,170.0,"""/m/0c2wf"""
xjqt3sDAGdg,21.0,31.0,"""/m/01s0vc,/m/09x0r"""
t5P_HJrrD64,90.0,100.0,"""/m/04rlf,/t/dd00031"""
3cEQfNZ_F1w,30.0,40.0,"""/m/03_d0,/m/04rlf,/m/064t9"""
JYYfw3id3ek,140.0,150.0,"""/m/018j2,/m/04rlf,/m/04szw,/m/0fx80y,/m/0gg8l"""
5AAYAhVcZNM,30.0,40.0,"""/m/04rlf,/m/07qcpgn"""
XpKCBBd1QRs,150.0,160.0,"""/m/02zsn,/m/0939n_,/m/09x0r"""
r4G71I1dFpA,160.0,170.0,"""/m/02v2lh"""
pUj8u3mO4Hs,240.0,250.0,"""/m/0939n_"""
dXQdnWlFkio,110.0,120.0,"""/m/068zj,/m/09x0r"""
Aw0eXIShRzk,15.0,25.0,"""/m/06h7j,/t/dd00126"""
J1nIXpnMe1U,30.0,40.0,"""/m/0mkg"""
ctJI7pCbxAo,290.0,300.0,"""/m/015lz1,/m/028sqc,/m/04rlf"""
YZsH4WvIkxE,40.0,50.0,"""/m/03wwcy,/m/09x0r"""
HtXtfCR-MUg,60.0,70.0,"""/m/04rlf,/m/07pbtc8,/m/085jw,/m/0c1dj,/m/0l14j_"""
LkBEEJi_igo,30.0,40.0,"""/m/04rlf,/m/05lls"""
GXIHvG5Z3LM,150.0,160.0,"""/m/07qyrcz"""
8JL_9_tooV8,30.0,40.0,"""/m/04rlf,/m/07pjwq1,/m/09x0r"""
04RDcHpgzTM,50.0,60.0,"""/m/07pp8cl"""
MPumtjQqoYk,30.0,40.0,"""/m/0155w,/m/04rlf,/m/06w87"""
sOJSjVp6UTc,30.0,40.0,"""/m/01kcd,/m/07gql"""
REZ4EsC7Bmc,90.0,100.0,"""/m/07r4k75,/m/09x0r"""
tOnbheVe0nI,170.0,180.0,"""/m/06h7j,/m/09x0r"""
CEfpUeWuN2Q,180.0,190.0,"""/m/02rr_,/m/04rlf,/m/096m7z,/m/0l14qv"""
GLCteJgI1cw,320.0,330.0,"""/m/04rlf,/m/0ln16"""
RIBawnOxIh0,0.0,10.0,"""/m/01d3sd,/m/07ppn3j"""
mmz6uoEWxuE,30.0,40.0,"""/m/01bjv,/m/09x0r,/m/0btp2"""
CneVBi4y1Cw,30.0,40.0,"""/t/dd00067"""
FdZQAkC-tjQ,120.0,130.0,"""/m/032n05,/m/0jbk"""
